Word,Part of Speech,Definition,Grammar information:
ena',noun,"road, path, way, street, avenue, pass, furrow, row",
ena' batcáya',noun,roadway,
ena' estannua',noun,"guide to a road: maps, signs, etc.",
ena' patha',noun,highway,
ena' tcetu',noun,"highway, interstate freeway",
ena' ukfuáta',noun,crossroad,
ena' use',noun,"path, trail",
enak,noun,corn tassel,
enák,noun,"pro. himself, herself, one's own, his, hers, theirs (also elák)",
enak betépule',noun,rainbow,
ẽnale' funi',noun,"his/her/its backbone, includes the nasal prefic en-:",
ennutce',noun,"something worn around the neck: a bell, necklace, collar, neckerchief, bandana, scarf, tie, etc.",
ennutceh,verb,"to put on (a tie, necklace, something around the neck)",transitive
ennutcétceh,verb,"to put (a necklace, etc) around (another's) neck",stative
ẽpa' tcetu',noun,"party, feast, banquet",
epẽsek,noun,"breast, teat, udder",
epétah,verb,to feed (someone),transitive
Éplel,noun,April,
ẽpunna',noun,an expert (nasal marker),
ẽpunnah,verb,"to be skilled (at anything), talented, good, smart (includes the nasal marker em-: ãpunna 'I am skillful', thẽpunna 'you are skillfull', ẽpunna 'he/she is skillfull', pẽpunna 'we are skillfull', atcẽpunna ' you all are skillfull')",dative
ẽpũssah,verb,to kiss (someone),"transitive, object gets dative marker"
ése',noun,"body hair, hair on the body below the head; fur; feather; leaf",
eseh,verb,"to get, accept, take, pick (something) up, receive, obtain",transitive
eskale',noun,"money (from escalin, an ancient French coin)",
eskale' ápúta',noun,"lender: a bank, mortgage company, etc.",
eskale' busulle',noun,"change, coins",
eskale' dúkulu',noun,"one quarter (the coin), two bits",
eskale' ẽsuktca',noun,"purse, coin purse",
eskale' súle',noun,treasurer,
eskannapa',noun,"accident (also eskanapa, eskannap);",
eskannapah,verb,to have an accident,stative
eskannapah,verb,"to be casual, to be met with an accident",stative
eskẽfa',noun,axe (also eskeffa),
eskẽfa' use',noun,hatchet,
esketéni',noun,"small amount, a little bit
horned owl",
esketénih,verb,"to be a small amount, a little, puny;",stative
eskuffatceh,verb,to put around the waist,transitive
eskuh,verb,to drink (a liquid),transitive
eskuna',noun,"intestines, entrails, guts;
chitlins, chitterings, tripe",
essah,verb,"to quit, stop, cease, abandon, discontinue, halt, pause, level",transitive
essap,noun,lice,
essatceh,verb,"to terminate, fire, discharge (someone);
to make stop, discontinue, still",transitive
esse',noun,deer,
esse' dék,noun,doe,
esse' ẽdakkũ',noun,type of wild plum,
esse' kusúma',noun,goat,
esse' kusúma' nakani' use',noun,male baby goat,
esse' kusúma' pesuktce',noun,goat milk,
esse' kusúma' use',noun,kid (baby goat),
esse' nákani',noun,"buck, stag",
esse' nipe',noun,"deer meat, venison",
esse' tcetu',noun,elk,
esse' use',noun,"fawn, young deer",
esses,noun,blood,
esses baléle',noun,blood pressure,
esses waláha',noun,blood clot,
essetu',noun,pumpkin,
essetu' alwasa',noun,fried pumpkin,
essetu' use',noun,squash,
essuh,verb,to hit (someone or something),"transitive, singular"
estabéka',noun,"disease, sickness, cause of a sickness, infection",
estable',noun,"what someone steps with: sole of the shoe or foot, (brake or gas pedal, etc.)",
estabúle',noun,stickball (the game),
estafátca',noun,"lock, fastener, latch",
estahullu',noun,"witchcraft;
a witch, sorceror",
estákalu',noun,"something to hear with: hearing aid, earphones, etc.",
estákamútce',noun,glue,
estalasbetce',noun,"an iron: to smooth or press out wrinkles, (clothing or fabric)",
estalhkama',noun,"stopper, cork, plug",
estalhpesa',noun,"something to measure with: tape measure, ruler, measuring cup, stethoscope, etc.;
a measure: cup, foot, yard, gallon, etc.;
sign, symbol, marker (for a grave, road, etc.), road sign",
estanná^leh,verb,num. sixth,intransitive
estapésa',noun,"tool for measuring: measuring stick, ruler, measuring tape, thermometer, speedometer, etc. (also est alhpésa)",
estasána',noun,"lock, screw",
estasannitce',noun,"key, screwdriver",
estatabletce',noun,"button, fastener (such as a hook and eye)",
estatápa',noun,"button, fastener (such as a hook and eye) (also est atapatce)",
estatcéfa',noun,soap,
estatcéfa',noun,something you wash with: a washcloth,
estáteyáka',noun,descendant (in the Bible),
estatta',noun,"worker (of any kind, such as a manager, attorney, administrator, etc.)",
estayyúpeh,verb,"to be last (of a group or series);
the end, conclusion, the last one (in time or sequence), the end time (in the Bible)",stative
estbalámatce',noun,"flavoring, perfume, spices, herbs",
estbasa',noun,saw,
estbéheléble',noun,something to point with: a pointer,
estbetéle',noun,"head scarf, bandana",
estbua',noun,"hammer, mallet",
estbuhpule',noun,slingshot,
estdakáfa',noun,"cup, dipper, ladle, large serving spoon",
Estdakáfa' Tcetu',noun,"the Big Dipper, Ursa Major",
estdalhlhá^peh,verb,num. fifth,intransitive
estdallaktce',noun,"something to tie with: string, twist tie, leash, lace, etc.",
estdekéle',noun,"brace, prop",
estdewa',noun,key,
estduksale',noun,"something to work with: a tool, insturment, machine, etc. (also est tũksale)",
estẽkãna',noun,grace (in the Bible),
estelákasútce',noun,"hand towel, towel",
estelle',noun,"cause of death (poison, venom, virus, etc.)",
estẽnukhãkalu',noun,"mercy, compassion, charity (in the Bible)",
estẽpa',noun,"eating or cooking utensil, (spoon, etc.)",
estẽpa' use',noun,"small spoon, teaspoon",
estesku',noun,"drinking vessel: cup, drinking glass, tumbler, etc.",
esteskuffatce',noun,belt (also eskuffatce),
estẽtcũa',noun,"something to mark with: a marker, felt pen, chalk, colored pencil, crayong, branding iron, seal, rubber stamp, etc.",
esteyah,verb,"(one) to take along, carry, go with (something)","intransitive, singular, est + eya"
esteyah,verb,"to begin, start (to do something)",transitive
estkalása',noun,"scissors, shears",
estkalletce',noun,rake,
estkasútce',noun,"towel, tissue, etc. (cloth or paper)",
estkatcáya',noun,"shears, scissors",
estkula',noun,"tool for digging: a pick, shovel, auger, posthole digger, chisel, etc.",
estmalhútce',noun,"washboard, scrubboard",
estmelhúfa',noun,"file (tool), rasp, scraper",
estnalhlhe',noun,stinger (of a wasp or bee),
estnanable',noun,"Adam's apple (also nanable, esnalap)",
estnuktelhéle',noun,"mountain mint (also nuktelhéle)
When someone had a headache, people would sometimes steep mountain mint in water, and then dip a cloth in it to dab the forehead.",
estnusétce',noun,"something causing sleep, such as an anesthetic",
estpãspua',noun,broom,
estpeha',noun,"a shovel, scoop",
estpũfa',noun,"any wind instrument: trumpet, horn, bugle, etc.",
estsatammetce',noun,"leaneing agent: baking powder, baking soda, yeast, etc.",
estséma',noun,"decorations, jewelry, finery",
esttcakká^leh,verb,num. ninth,intransitive
esttcãpulétce',noun,"sweetener, sugar substitute",
esttcekkẽha',noun,"poker (for a fire), any object to poke with",
esttcũpa',noun,"funds, purchase with money, means of making a purchase",
estũdúkuluh,verb,num. seventh,intransitive
estũdutctcé^nuh,verb,num. eighth,intransitive
estulessutce',noun,"something to write with: a pen, pencil, etc.",
estulhtena',noun,"something to count with: calculator, computer",
estullulhte',noun,"something to start a fire with: firewood, kindling, etc.",
estúlumu',noun,"roof, shingles, covering",
estũpuhúlumu',noun,"lid, cover (also ũpuhúlumu)",
estútce',noun,"any vessel used to take up water: bucket, pail, water pot, etc.",
estwúhatce',noun,"horn (on a car, etc.)",
estyuha',noun,"sifter (traditional cane basket for sifting corn), sieve",
esu',noun,child (in the Bible),
ẽsũksuah,verb,to kiss,"transitive, requires dative marker"
esũlas,noun,tongue,
etakha',noun,mouth,Class II possession
etakha' anũka',noun,inside of the mouth,Class II possession
etakha' sua',noun,bad breath,
etakpasáleh,verb,"to open the mouth, have the mouth wide open",intransitive
etcableh,verb,"to mate, match",transitive
etce',noun,boil,
ẽtcel,noun,angel (from English angel),
ẽtcũah,verb,"to be marked, branded, tattooed","stative, dative marker"
ẽtcũatceh,verb,"to mark (a paper, etc.)","transitive, dative marker"
etcukbe',noun,"hole in the ground, pit, cave",
ẽtcũleh,verb,"to mark, brand (cattle, etc.), stamp, tattoo, imprint (something)","intransitive, dative marker"
ete',noun,"tree;
wood, timber",
ete' aksup,noun,tree bark,
ete' ani',noun,black gum,
ete' ape',noun,tree trunk,
ete' basa',noun,"board, lumber, a sawn board",
ete' busulle',noun,"wood chips, fragments of wood",
ete' dabe',noun,"wooden staff, wooden cane",
ete' danãpu',noun,bow (for shooting arrows),
ete' dapa',noun,"stick fo wood, a club",
ete' ése',noun,"leaf (of a tree), tree leaves",
ete' fabassa',noun,"pole, fence post, slender tree",
ete' kabulle',noun,"small, broken pieces of wood, kindling (also ete kubuhle)",
ete' kafe',noun,sassafras tree,
ete' kulúfa',noun,"stump, a stub",
ete' lũbu',noun,log,
ete' nakses,noun,"tree limb, bough, knot",
ete' niya',noun,pine,
ete' pakãle',noun,flowering tree,
ete' patalhpu',noun,"wooden platform: porch, bridge, floor, etc.",
ete' tcanáha',noun,"wagon;
wheel",
ete' tcanalle',noun,wagon,
ete' uktce',noun,sap,
ete' ullulhte',noun,firewood,
eteh,noun,"mouth, language (archaic word used in the Bible)",
etekba',noun,in front of,
etekba' dakále',noun,"apron, bib",
ettabánah,verb,to be put together (as in a log house),"transitive, recip."
ettadaktceh,verb,"to tie (shoelaces, etc.) together","transitive, recip."
ettadaktcetceh,verb,to make (someone) tie (two things) together,"transitive, recip."
ettadallaktceh,verb,to be tied together,"stative, recip."
ettadewwetceh,verb,"to tear apart (an old house), rummage through (a house, etc.)","transitive, recip."
ettadúbah,verb,"to trade, swap, exchange, barter","transitive, recip."
ettadúkuluh,verb,"two together, both","stative, dual, recip."
ettafámah,verb,"to meet with, meet together","intransitive, recip."
ettakásableh,verb,"to divide (something) in two parts, halve, separate into two parts","transitive, recip., singular"
ettakásapah,verb,"divided in two, halved, separated;
to be divivded in two, halved, separated","intransitive, recip., singular"
ettakaskuah,verb,"to be divided, separated","intransitive, recip., plural"
ettakaskuleh,verb,to divide into portions,"transitive, recip., plural"
ettakubba uttupa',noun,stomach-ache,
ettakubba',noun,"stomach, belly",
ettálalle',noun,"marriage, wedding;",
ettálalle',verb,"to get married, be married","intransitive, recip."
ettálalletceh,verb,to perform a wedding,"intransitive, recip."
ettalátceh,verb,(two) to arrive here,"intransitive, recip., plural"
ettalhkatah,verb,patched together,"stative, recip."
ettalhkatceh,verb,"to do patchwork (on a quilt), do piecing","transitive, recip."
ettanáha',noun,"meeting, gathering",
ettanáhah,verb,"to meet, get together, gather together",intransitive
ettanúah,verb,"(two or more) to walk together, travel together","intransitive, plural, recip."
ettásanáleh,verb,"to face each other, confront each other","intransitive, recip."
ettaséhah,verb,"tangled, ratty (of the hair)","stative, recip."
ettásetah,verb,tied together,"stative, recip."
ettásetéle,verb,"to tie (ribbons, etc.) together","transitive, recip."
ettatcableh,verb,"to match two (shoes, etc.) together","transitive, recip."
ettatcápa',noun,"its mate (of a shoe, etc.), its match, a pair;
the side of",
ettatcápa',noun,"match, mate (to a sock, etc.)",
ettatcápuleh,verb,"to pair (two oxen, etc.) together, mate, match","transitive, recip., plural"
ettatcúa',noun,"dispute, quarrel;",
ettatcúah,verb,"to argue with (someone), contradict, debate, oppose, resist","transitive, recip"
ettayyúkumah,verb,"to be mixed up, messed up (of a room, etc.), cluttered, disorganized",stative
ettebápese',noun,brother or sister (also in Christ),
ettebáyalhtuh,verb,"to be mixed, poured in","stative, recip. + comit."
ettebáyanih,verb,"to add (things) together, to be put together, mix (ingredients, people, etc.) together 
derived from ettebá ani)","intransitive, recip. + comit"
ettebáyatcaffah,noun,"agreement, consensus, accord",
ettebe',noun,"fighter;
a battle",
ettebeh,verb,"to fight, combat, skirmish","intransitive, recip"
ettedákala',noun,p. in between,
ettefukkeh,verb,"to insert (one) into another, put inside another (as when putting a pen and cap together)","transitive, recip."
ettefukketceh,verb,to put (one) inside another,"transitive, recip."
ettẽkãna',noun,"mutual friends, friendship",
ettẽkãnah,verb,"to be friendly to each other, show kindness","intransitive, recip"
etteláweh,verb,"equal, even (of scroes), the same (age, height, etc.)
to be the same, equal with each other","stative, recip."
etteláwetceh,verb,"to make just the same, make level or equal","transitive, recip."
ettẽlumãkah,verb,"to commit adultery, fornicate (term used in the Bible), be hidden together","intransitive, recip"
ettemayyah,verb,"to compete, to race","transitive, recip."
ettemme',noun,"pro. each other's, belonging to each other, a match for each other (e.g., a pot and a lid or a bolt and a nut)",
ettẽnánayyah,verb,"to be at peace with one another (in the Bible), reconcile","intransitive, recip"
ettẽpákana',noun,"competition, race;",
ettẽpákanah,verb,to compete,"intransitive, recip"
ettẽpákanah,verb,to compete against each other,"transitive, recip."
ettepúkufah,verb,"to run into each other, collide","transitive, recip."
ettẽsanále',noun,"enemy, opponent",
ettesápalétceh,verb,"to harness (two horses, mules, etc.) together","transitive, recip., plural"
etteseh,verb,"to wrestle, to scuffle","transitive, recip."
ettesúleh,verb,to hug each other,"transitive, recip."
ettesúpe',noun,cheek,
ettesúpe' funi',noun,cheek bone,
ettetcable',noun,"mate, a pair",
ettetcableh,verb,"to mate, pair (two things)",intransitive
ettetcákaleh,verb,"to put together, piece together, join together, connect, attach","transitive, recip."
ettetcápah,verb,"to match, go at the side of;
to oppose, contradict, argue","intransitive, recip."
etteyalbe',noun,lips,
etteyátceh,verb,(two) to go,"transitive, recip., plural"
etteyũpetámah,verb,"to be crossed (of roads, sticks, etc.)","stative, recip."
etteyũpetammeh,verb,to pass each other (in traffic),"transitive, recip."
ettũ^lah,verb,"(one) to be lying (of a person, stick, etc.)","stative, N grade, singular"
ettũdaláha',noun,"stacks, stories, floors (of a building)",
ettũdaláhah,verb,"to be stacked (of dishes, etc.)",stative
ettũdalúheleh,verb,"to set, place (dishes, etc.) on each other, stack (two or more)","transitive, recip., plural"
ettúkeleh,verb,"to grasp, take hold of each other","transitive, recip."
ettúkelétceh,verb,"to hook (chain links, etc.) together, crochet, string (beads)","transitive, recip."
ettulah,verb,to fall,intransitive
ettulbah,verb,"to resemble each other, be alike","stative, recip."
ettunátceh,verb,"(two) to arrive there, arrive",intransitive
ettũwa^yyákatceh,verb,"to be leaning on each other, as fallen cane stalks","intransitive, Y grade"
etũbe',noun,"coffin, casket, box, chest (also tũbe) 
(sp. var. etũbe)",
etũbe' use',noun,small box (also tũbuse),
etuk,noun,"powder, gunpowder",
etuk lákana,noun,"sulphur, brimstone",
etuk lúsa,noun,toner (for a printer) (new word),
etuk tcube',noun,"dust, ash, ashes",
etuk tcube' uyya',noun,noun,
etukselah,verb,to be thirsty,stative
etuktce',noun,"spit, saliva",
eyah,verb,(one) to go,intransitive
eyákãya',noun,follower; second in command,
eyákãyah,verb,"to be next, come after, in a position following",transitive
eyákayyah,verb,"to follow, pursue, trace (deer tracks, a person, etc.)",transitive
eyalle',noun,"price, value, worth (of something), its cost",
eyalleh,verb,to cost,transitive
eyuhtceh,verb,"to stand, erect, set (several poles) in the ground","transitive, plural"
eyúhumã^yah,verb,"to be standing around (of three or more people, cars, trees, houses, cattle, etc.)","intransitive, , triplural, N grade"
eyúleh,verb,to stand up (said to three or more),"intransitive, triplural"
eyyabuske',noun,"sock, stocking (also eyyabe uske, yabuske)",
eyyaktcus,noun,"toenail;
claw, hoof",
eyyása',noun,kettle (a cast-iron kettle with legs used for cooking over a fire),
eyye',noun,"foot, paw, hoof",Class II possession
eyye' afábe',noun,left foot,Class II possession
eyye' ape',noun,"leg, leg below the knee",Class II possession
eyye' ayéna',noun,big toe,Class II possession
eyye' ẽkaláha',noun,knee,Class II possession
eyye' emuksak,noun,ankle bone,Class II possession
eyye' kutúba',noun,heel,Class II possession
eyye' pahta',noun,"sole of the foot;
a foot (in length)
(also eyye patha, eyye patta)",Class II possession
eyye' ube',noun,thigh,Class II possession
eyye' ulba',noun,an artificial leg (new word),Class II possession
eyye' ulhke',noun,calf (of the leg),Class II possession
eyye' use',noun,toe,Class II possession
fabassah,verb,long and slender (of one),"stative, singular"
fabassúah,verb,long and slender (of 2 or more),"stative, plural"
fahákatceh,verb,"to swing slowly, make a vibrating sound (as of a fan, etc)","intransitive, plural"
fáhaleh,verb,"to wave (the hand), shake (the head), wag (the tail)","intransitive, plural"
fahámah,verb,"to strike, beat, swing, take a swing (with the arm, a bat, etc)","transitive, singular"
fahátah,verb,to swing,"intransitive, singular"
fahátatceh,verb,"to swing (a child, etc)","transitive, plural"
fahpu',noun,"magic, trickery, charm",
fakubleh,verb,"to strip off (bark, paint, wallpaper, etc), peel off (older. fakopli)","transitive, singular"
fakúpah,verb,"to be stripped off, peeled off, broken(the seal of a jar), torn off (of bark), siding, wallpaper, paint, etc.)","intransitive, singular"
fala',noun,crow,
fala' emessetu',noun,a mayapple,
falaktu',noun,"fork (of a tree), notch, crotch",
falámah,verb,"(one) to return, go back, turn back, revert, recoil, relapse",intransitive
falámat uktcãya',noun,2. Resurrection,
falamme',noun,North,
falammetcétceh,verb,to cause (someone) to return,transitive
falámúah,verb,"(2 or more) to return, go back and forth, oscillate","intransitive, plural"
faláyah,verb,"long (of one), lengthy","stative, singular"
falúhah,verb,(of 2 or more) to be long,"stative, plural"
famah,verb,to be whipped,stative
fammeh,verb,"to whip (with a switch, belt, etc)",transitive
fani',noun,squirrel,
fani' ẽsapa',noun,mistletoe,
fani' lákana',noun,fox squirrel,
fani' lúsa',noun,black squirrel,
fani' walakse',noun,squirrel dumpling,
fatammeh,verb,"to flip open (a book, etc)",transitive
fatcũse',noun,duck,
fayúkahã^tceh,verb,"to waver, rock, wobble, (of a wheel, etc), stagger (as of a drunk person)","intransitive, HN Grade"
Febyuále',noun,February,
felammeh,verb,"to separate, part from",intransitive
felammetceh,verb,to make separate,transitive
Felãtce',noun,the French,
felémah,verb,"1. to turn over once (of a baby, cover)
2. to turn looking back","intransitive, singular"
felemmeh,verb,"to turn (something) over or around once, flip (an egg, etc)","transitive, singular"
felémúah,verb,"to turn over repeatedly (of a baby, etc)","intransitive, plural"
felémúleh,verb,"to turn (something) over repeatedly, turn around or about","transitive, plural"
femah,verb,"to be scattered (of seeds, etc), sown, strewn, sprinkled, dispersed",stative
femépah,verb,"to spray (of water, etc)",intransitive
femmeh,verb,"to scatter (several), sow, sprinkle (water), disperse, broadcast (seeds, a radio show), send out",transitive
fénah,verb,"1. very much, really
2. that very (place), right (in a place), right at (a time)",stative
fénatceh,verb,"to make much of, be proud of",transitive
fetcak,noun,dew,
fetcápah,verb,"to branch off, fork, turn aside.",intransitive
fetcek eka',noun,"shooting star, meteor",
fetcek éle',noun,"shooting stars, meteors",
fetcek lukúle',noun,constellation,
fetcek pulhulle',noun,meteor shower,
"fetcek, futcek",noun,"star, planet",
fetukhak,noun,yellow-shafted flicker,
feyúpa',noun,breath,
feyúpah,verb,to breathe,intransitive
Flayete',noun,Friday,
fũ^kkah,verb,"(one) to be inside of (something), to be wearing clothes","transitive, N grade"
fue',noun,bee,
fue' ayéna',noun,honey bee,
fue' ayéna' eppúkeni,noun,queen bee,
fue' bela',noun,honey,
fue' bela' aksup,noun,honeycomb,
fufu',noun,"a grandfather, his/her grandfather, great-grandfather (includes the nasal marker em-; amafu 'my grandfather', tcemafu 'your grandfather', emafu 'his/her grandfather', etc.)",
fuhah,verb,"to rest, take a break, retire",intransitive
fuhátceh,verb,"to cause to rest, rest (one's mind, etc), dismiss, recess",transitive
fuhubleh,verb,"to pour (a liquid, nails, etc), dump (firewood, etc.), unload",transitive
fuhúpah,verb,"to be poured out (of a liquid, etc), unloaded",intransitive
fuka',noun,"at around (a time, place, or degree), about, around, (an amount)",
fukáleh,verb,at around (a time),intransitive
fukkah,verb," to put in, put on, enter, go in","transitive, singular"
fukkatceh,verb,"to put (pants, etc) on (a child etc)",transitive
fukkeh,verb,"to put (one) into, board a vessel","transitive, singular"
fukketceh,verb,"to cause to go in (something), put or place into (as a child into a seat), insert, inject (grease, oil, etc)","transitive, singular"
fule',noun,"switch ( for whipping someone), twig, sprig, rod",
fulleh,verb,"to twist (a drill, etc), crank, rotate",transitive
fulúkatceh,verb,"to sway back and forth, agitate (of a washing machine, etc), move about",intransitive
fululleh,verb,"to turn (of a wheel, wagon, etc)",intransitive
fululletceh,verb,"to turn (a wheel, car, etc) around",transitive
fulup,noun,shoulder (section from the top of the shoulder to the elbow),Class II possession
fulútah,verb,to turn around,intransitive
fulútuah,verb,to go around,intransitive
fulútúah,verb,"to zig-zag, turn side to side",
fulútuhũ^ah,verb,to turn around and around (as of a merry-go-round),"intransitive, HN grade"
fulútuleh,verb,to turn (something) around or away from,transitive
funi',noun,"1. bone
2. pit",Class II possession
funi' lupe',noun,bone marrow,Class II possession
futcáhatceh,verb,to make a scratching noise on the bark of a tree (as of a squirrel climbing a tree),intransitive
futúhah,verb,"1. to be cranked, wound, (of a wheel, etc)
2. to be bored (of a hole, etc), drilled
3. (coffee, corn, etc) is ground (by a mill)",stative
futúleh,verb,to grind (coffee),transitive
ká áyeska',noun,"place to fix a car, repair shop (also kaa aivska)",
ká',noun,"car, automobile (from the English)",
"ká' apukseya', ká' apukseyátce'",noun,"car repairman, mechanic (also kaa apiksiachi)",
kã^hah,verb,(two) to be lying,intransitive
kafe',noun,coffee,
"kafe' áhonni', kafe' áhoni'",noun,coffee pot (also kafi ahoni),
káhah!,verb,lie down! (said to two),"intransitive, dual"
káhaleh,verb,"to bet, wager, stake",transitive
káhamã^yah,verb,(3 or more) to be lying down,"intransitive, triplural"
kahpuleh,verb,"to lay (2) down, put away, put out",transitive
kalaffeh,verb,"to claw, scratch once",transitive
kalãpeh,verb,"to freeze (of water, etc)",stative
kalãpetceh,verb,"to cause to freeze (water, food)",transitive
kaleh,noun,spring (source of underground water),
kaleh ufúbe',noun,a deep well or spring,
kalhámah,verb,"to have the odor of urine or sweat), to be rancid, to be sour",stative
kalle',noun,a scratch,
kalleh,verb,"to scratch (one's own ears, back, etc), claw",transitive
kalletceh,verb,"to scratch (a post, the ground, etc., as of a cat)",transitive
kalluh,verb,"1. hard, solid, stiff, rigid
2. complex, hard",stative
kámel,noun,camel,
kana,noun,"indef. someone, somebody, anyone (with negative)",
kanahã^leh,verb,to move around continuously (as of a baby in the womb),intransitive
kanakeyu,noun,"indef. no one, nobody",
kanakkeya,noun,"indef. anyone, someone, no one (with a negative)",
kanáleh,verb,"to move around (like a baby in the womb), shift, move to one side, go away, depart, hitch",intransitive
kanáletceh,verb,"to make (2 or more things, etc) move around","transitive, plural"
kanalletce',noun,"a mover (of cars, snow, house, dirt, etc)",
kanamúma',noun,"everybody, everyone",
kanímãpukkeya,noun,either,
kanímekkeya,noun,anytime,
kaníyah,verb,"v.1. (one) to disappear, go missing, be lost
2. to pass away, die
3. to be finished (being a certain way), completely (full, red, etc), entirely",intransitive
kanúheme,noun,"indef. some, several (days, dogs, etc)",
kanúme',noun,"relative, kinfolk (requires a form of ĩ)",
kapã^leh,verb,to have (something) in the mouth,transitive
kapáleh,verb,"1. to hold or put (tobacco, dentures, etc) in the mouth
2. to learn (a language)",transitive
kapassah,verb,"cold (of weather, water, etc)",stative
kapassatceh,verb,"to cool (butter, etc)",transitive
kãpelah,verb,"v.1. to throw (2 or more) away, get rid of (2 or more)
2. to sell (2 or more)","transitive, plural"
kaputctca',noun,stickball sticks,
kasableh,verb,"to divide one thing into two, separate, subtract","transitive, singular"
kasápa',noun,"portion, share",
kasápah,verb," to separate, divide","intransitive, singular"
kaskua',noun,"1. a portion
2. verse (in the Bible)",
kaskuah,verb," to separate, divide","intransitive, plural"
kaskuleh,verb," to divide (money, parts of an animal), pass out, allot, share","transitive, plural"
kaste',noun,flea,
kasúfah,verb,"clean, clear, tidy, pardoned",stative
kasuffeh,verb,"to clean (something), clear (your name from a charge), cleanse (the spirit), erase, delete, purge",transitive
kasúleh,verb,to thump (a watermelon) with the finger and thumb,transitive
kasúletceh,verb,"to wipe, brush, scour, rub, dust, mop, scrub",transitive
katah,verb,interrog. be who,stative
katãleh,verb,"to be tight (of a garment, parking space)",stative
katãletceh,verb,"to tighten (a lid, etc), bind tightly, squeeze (also katanchi)",transitive
kãtcak,noun,"barn, shed for poultry",
kãtceh,verb,"1. to leave (a spouse, a job), give up on
2. to lose, sell (one thing)
3. really",transitive
katcũbe',noun,"cancer, tumor (older word)",
kate',noun,thorn,
kãte',noun,county (from the English),
kate' lákana',noun,"Osage orange, bois d'arc",
katus,noun,cat,
katus use',noun,kitten,
kawásah,verb,to be short in stature (not tall),stative
kayyah,verb,to be full (after eating),stative
keffãhah,verb,"to moan (of someone sick, etc), groan, whine",intransitive
"kehte', kette'",noun,"mortar, wooden bowl for pounding corn",
"kehtus, kettus",noun,"pestle, stick for pounding corn",
keléhah,verb,"to growl, purr, roar",intransitive
kenáfah,verb,"to fall down, topple, be torn down, demolished (of a house, etc)","intransitive, singular"
kenaffeh,verb,"to tear down (a house, etc), demolish, fell (a tree), topple","transitive, singular"
kenálheh,verb,"to fall down, topple, be torn down, demolished (of houses, etc)","intransitive, plural"
kenálhetceh,verb,"to tear down (houses, etc), demolish, fell (trees), topple","transitive, plural"
kẽta',noun,beaver,
ketcãleh,verb,"to be chapped, cracked (of the lips, hands, etc)",
keyãte',noun,candy (derived from English),
kuah,verb,"(one) to be broken (of one egg, windshield, glass, skull, etc), smashed, cracked","stative, singular"
kubáfah,verb,"to be broken (of a stick, heel of a shoe, something rigid)",stative
kubaffeh,verb,"to break (a stick, a bone, something rigid), destroy, break (a promise, the law), abolish, annul",intransitive
kubáhalétceh,verb,"to break (a stick, etc) into many pieces.",transitive
kubleh,verb,"to bite more than once, to gnaw on","transitive, plural"
"kubúhele, kubulle'",noun,"chips, broken pieces of stone, wood, etc",
kubukseh,verb,"to be hunched over, humpbacked",stative
kue',noun,mile,
kuẽ',noun,"lion; mountain lion, puma",
kũe',noun,"woods, forest",
Kũe' Anũka' Ása',noun,"the ones who live in the forest, Little People in Choctaw myths. * The Little People are believed by some to live in the forest. If they take a child, the child may become a medicine maker.",
kuẽ' basúa',noun,tiger,
kuẽ' lúsa',noun,black panther,
kuẽ' tcektceke',noun,leopard,
kufe',noun,guinea,
kufe' nuksúpa',noun,"quail, bobwhite",
kufúhatceh,verb,"to roar (of the wind, a tornado, etc)",intransitive
kufúta',noun,"steam, vapor",
kufútah,verb,to be steaming,stative
kuhtcah,verb,to be exiting quickly,stative
"kuhtceh, kutctceh",verb,"to push it, take out, pull out,v sick out (the tongue, etc.), put (something) out, get (groceries) out, fire (someone), expel (a student, etc.)",
kúkuah,verb,"to crack (as of earthenware), break (of 2 or more eggs, etc)","intransitive, plural"
kúkuleh,verb,"to break (2 or more glass or ceramic dishes, etc.), shatter, smash, crack (corn)","transitive, plural"
kulah,verb,to be dug out,stative
kulak,noun,"gulp, the second of swallowing",
kúleh,verb,"to break (one egg, drinking glass, windshield, etc.), smash","transitive, singular"
kulleh,verb,to dig,transitive
kulúfah,verb,"severed, broken off, (of a stick, etc), cut off (of a dog's tail)",stative
kulukbe',noun,"hollow, ditch, gully",
kummetceh,verb,"to ache (of a body part), be painful",intransitive
kumũtah,verb,"to be uneasy, timid, wary, leery, anxious, hesitant, fear, dread",stative
kunih,noun,skunk,
kupúleh,verb,"to bite once, pinch, grab (with a ring","transitive, singular"
kũsak,noun,knife,
kũsak estẽpa',noun,"knife (for eating); table knife, steak knife",
"kuséba', kusebba'",noun,pokeweed,
kustenih,verb,"1. to be wise, sensible
2. to be sober, alert, aware
3. to be tame (of a horse, etc), disciplined",stative
kustenítceh,verb,"to train (someone), break (a horse), tame",transitive
kusúmah,verb,"to stink, smell bad, have a foul odor or stench",stative
kũta',noun,a whistle,
kutah,verb,"weak, sickly, feeble",stative
kũtah,verb,to whistle with the lips,intransitive
kutca',noun,"n.1. outside
2. weather",
kutca' estalhpesa',noun,weather thermometer,
kutca' ukpulu',noun,"bad weather, storm",
kutcah,verb,"v.1. to go out, come out, dislocated
2. to come up, rise (of the sun)",intransitive
"kutcawéheleh, kutcáleh",verb,"to take out, withdraw",
kutúba',noun,"jar, bottle",
kutúmah,verb,"to smell, have a bad odor, smelly",stative
